frame_id,brand,location,size,percentage,x,y,confidence,count,new_id
66,Muller,Led_Board_M,546,0.059244792,849,163.5,0.994817,1,108
66,#BeTheNext,Grandstand,1541,0.167209201,850.5,17.5,0.36656,1,109
66,#BeTheNext,Grandstand,1140,0.123697917,360,34.5,0.999846,1,110
66,IAAF,Grandstand,300,0.032552083,540.5,37,0.95632,1,111
66,See_The_Best,Grandstand,1430,0.155164931,848.5,18,0.870805,1,112
66,Seiko,Infield_Board,3078,0.333984375,915,218.5,0.991759,1,113
67,Heineken,Led_Board_S,1650,0.179036458,773,164.5,0.988024,1,106
67,Muller,Led_Board_M,690,0.074869792,871,160.5,0.970038,1,108
67,Muller,Led_Board_M,728,0.078993056,833,161,0.996842,1,108
67,#BeTheNext,Grandstand,1188,0.12890625,372,35,0.997007,1,110
67,IAAF,Grandstand,364,0.039496528,555,28.5,0.994716,1,111
67,See_The_Best,Grandstand,2000,0.217013889,879,12.5,0.33984,1,112
67,Seiko,Infield_Board,3248,0.352430556,934,215,0.995211,1,113
68,Heineken,Led_Board_S,1775,0.192599826,835.5,165.5,0.995404,1,106
68,Muller,Led_Board_M,748,0.081163194,936,164,0.99883,1,108
68,Muller,Led_Board_M,832,0.090277778,893,165,0.999149,1,108
68,#BeTheNext,Grandstand,1224,0.1328125,409,32.5,0.999267,1,110
68,IAAF,Grandstand,312,0.033854167,603,26,0.996873,1,111
68,Seiko,Infield_Board,3480,0.377604167,1004,226,0.982752,1,113
69,Heineken,Led_Board_S,2241,0.243164063,939.5,190.5,0.991361,1,114
69,Muller,Led_Board_M,782,0.084852431,1056,190.5,0.995116,1,115
69,Muller,Led_Board_M,850,0.092230903,1006,190.5,0.997988,1,108
69,#BeTheNext,Grandstand,1159,0.125759549,502.5,49.5,0.994609,1,110
69,IAAF,Grandstand,324,0.03515625,700.5,46,0.999434,1,111
69,See_The_Best,Grandstand,2523,0.273763021,1066.5,20.5,0.738261,1,116
69,Seiko,Infield_Board,4352,0.472222222,1128,248,0.999136,1,117
70,Heineken,Led_Board_S,2075,0.22515191,964.5,187.5,0.999243,1,114
70,Muller,Led_Board_M,816,0.088541667,1083,188,0.99879,1,115
70,Muller,Led_Board_M,828,0.08984375,1038,187.5,0.999873,1,115
70,#BeTheNext,Grandstand,1349,0.146375868,508.5,44.5,0.99853,1,110
70,IAAF,Grandstand,351,0.038085938,716.5,39.5,0.99849,1,111
70,Seiko,Infield_Board,4590,0.498046875,1160.5,248,0.999588,1,117
71,Heineken,Led_Board_S,2430,0.263671875,965.5,206,0.999703,1,114
71,Muller,Led_Board_M,962,0.104383681,1084.5,203,0.999362,1,115
71,Muller,Led_Board_M,972,0.10546875,1037,202.5,0.999851,1,115
71,#BeTheNext,Grandstand,1273,0.13812934,510.5,62.5,0.993524,1,110
71,IAAF,Grandstand,392,0.042534722,717,56,0.991009,1,111
71,See_The_Best,Grandstand,2387,0.259006076,1097.5,27.5,0.985422,1,118
71,Seiko,Infield_Board,4760,0.516493056,1164,266,0.999395,1,117
72,Heineken,Led_Board_S,4305,0.467122396,1027.5,316.5,0.997846,1,119
72,Muller,Led_Board_M,1920,0.208333333,1127,317,0.95321,1,120
72,Muller,Led_Board_M,1938,0.210286458,1198.5,315,0.986486,1,121
72,IAAF,Grandstand,702,0.076171875,679.5,111,0.999258,1,111
72,Toyota,Bib,928,0.100694444,758.5,347,0.308802,1,122
73,Toyo_Tires,Led_Board_S,4914,0.533203125,1185.5,353,0.992146,1,123
73,Asics_logo,Led_Board_Qtr,221,0.023980035,902.5,354.5,0.926926,1,124
73,Asics_text,Led_Board_Qtr,690,0.074869792,924,346.5,0.681046,1,125
73,Seiko,Led_Board_Qtr,798,0.086588542,1023.5,361,0.381993,1,126
73,Seiko,Led_Board_Qtr,1216,0.131944444,1023,351,0.98053,1,127
73,TDK,Led_Board_Qtr,690,0.074869792,924,346.5,0.933381,1,128
73,Toyota,Led_Board_Qtr,1710,0.185546875,1024,336.5,0.833394,1,129
73,Toyota,Led_Board_Qtr,1216,0.131944444,1023,351,0.868864,1,130
73,Toyota,Led_Board_M,7708,0.836371528,345,347.5,0.989303,1,131
73,Toyota,Led_Board_M,5184,0.5625,766,349,0.998554,1,132
73,London_2017,Grandstand,3800,0.412326389,1008.5,171,0.961111,1,133
74,Toyo_Tires,Led_Board_S,4784,0.519097222,1025,353,0.999747,1,134
74,Asics_logo,Led_Board_Qtr,234,0.025390625,1156,367.5,0.994062,1,135
74,Asics_logo,Led_Board_Qtr,180,0.01953125,765.5,356,0.999584,1,136
74,Asics_text,Led_Board_Qtr,451,0.048936632,793.5,357.5,0.855859,1,137
74,Asics_text,Led_Board_Qtr,560,0.060763889,1185,366,0.931849,1,138
74,Seiko,Led_Board_Qtr,705,0.076497396,879.5,360.5,0.319023,1,139
74,Seiko,Led_Board_Qtr,304,0.032986111,1268.5,371,0.630139,1,140
74,Seiko,Led_Board_Qtr,975,0.105794271,878.5,350.5,0.929353,1,141
74,TDK,Led_Board_Qtr,780,0.084635417,1177,353.5,0.953098,1,142
74,TDK,Led_Board_Qtr,588,0.063802083,788,343,0.993962,1,143
74,Toyota,Led_Board_Qtr,640,0.069444444,1264,353,0.792903,1,144
74,Toyota,Led_Board_Qtr,975,0.105794271,878.5,350.5,0.884301,1,145
74,#IAAFWorlds,Grandstand,2394,0.259765625,320,163.5,0.993699,1,146
